Author,Title ,Cited in,ID in Kitab database,Other
Ibn Iyas,Bada’i al-Zuhur fi Waqa’i al-Duhur,Margolioth,0930IbnIyas.BadaicZuhur,
"Iyas I., Ahmad M.I.",Badai al-zuhur fiwaqai al-duhur,Abdulfattah,0930IbnIyas.BadaicZuhur,
al-Tirmidhi M.B.I.,Al-Jami' al-kabir,Bursi,1134IbnSalimBasri.KhatmJamicTirmidhi,
Al-Maqqari,Fath al-Muta’al fi Madh al-Ni’al,Meri,1250IbnMuhammadRaiqiSacidi.FathMutacal,
Ahmad Taymur,Al-Athar al-Nabawiya,"Meri, Abdulfattah",1348AhmadTaymurBasha.AtharNabawiyya,
’Abd al-Rahman al-Jabarti,Ajaib al-athar fial-tarajim wa-al-akhbar,Abdulfattah,No,https://archive.org/details/JabartiAjaebAthaar01
Ibrahim A.Y.Y.B.,Aja'ib al-athar,Bursi,No,https://archive.org/details/JabartiAjaebAthaar01
Mahbūb ibn Qusṭanṭīn,Kitab al-Unwan [Agapius Episcopus Mabbugensis Historia universalis],Bursi,No,https://archive.org/details/kitabalunvanhist0011agap/page/664/mode/2up
?,Kitab al-Sunan,Bursi,No,Pending
‘Abd al-Fattah M.,Ba‘d al-mulahazat ‘ala al-‘ilaqa bayna murur al-mawakib wa wad‘al-mabani al-athariyya fi shawari‘madinat al-Qahira,McGregor,No,Pending
‘Abd al-Malik S.S.,Qit‘a nadira min al-kiswa al-dakhiliyya li’l-ka‘ba al-musharrafa bi’sm al-sultan al-Nasir Hasan bin Muhammad bin Qalawun tu’arrakh bi-sanat 791 AH / 1359–1360 m,McGregor,No,Pending
‘Abd al-Wahhab H.,Alathar Almanqulah Walmuntahalah Fi Aleimarah Aleslamyah,McGregor,No,Pending
Abbas M.,Manarat al-funun wa al-hadara al-Islamiyya,McGregor,No,Pending
"Abd al-Ghani I., Shalabi A.",Awdah al-isharat fiman tawallá Misr al-Qahirah min al-wuzara wa-al-bashat: al-mulaqqab bi-al-Tarikh al-ayni,Abdulfattah,No,Pending
Abu 'Awana Y.B.I.,Musnad Abi Auana,Bursi,No,Pending
